estado,ano,materiais_construcao,consumo_intermediario,materiais_terceiros,numero_empresas_ativas,outros_custos_despesas,pessoal_ocupado,receita_bruta_total,receita_liquida,remuneracoes,custos_obras_servicos,custos_terceiros,custos_totais_despesas,gastos_pessoal,valor_adicionado,valor_bruto_producao,valor_obras_servicos
Acre,2007,75062000.0,102860000.0,34000.0,89,18982000.0,4230,279427000.0,254127000.0,41883000.0,92158000.0,50000.0,167193000.0,56002000.0,151794000.0,254655000.0,278969000.0
Acre,2008,154494000.0,215491000.0,0.0,113,31289000.0,5129,446819000.0,413260000.0,54418000.0,203471000.0,0.0,310690000.0,75930000.0,197500000.0,412991000.0,443351000.0
Acre,2009,151690000.0,223251000.0,4894000.0,131,34984000.0,6398,543075000.0,483182000.0,62213000.0,203152000.0,5129000.0,329485000.0,86220000.0,244349000.0,467599000.0,521595000.0
Acre,2010,232777000.0,312247000.0,3816000.0,149,69492000.0,6502,628673000.0,585984000.0,78055000.0,261823000.0,6249000.0,446763000.0,109200000.0,274928000.0,587176000.0,625113000.0
Acre,2011,187268000.0,296929000.0,586000.0,181,51628000.0,6818,643797000.0,545296000.0,95666000.0,268742000.0,854000.0,452621000.0,131397000.0,262792000.0,559721000.0,650487000.0
Acre,2012,216252000.0,347210000.0,1646000.0,149,101508000.0,6995,840751000.0,787651000.0,98757000.0,289706000.0,2870000.0,533357000.0,139272000.0,359737000.0,706947000.0,729792000.0
Acre,2013,202887000.0,350154000.0,847000.0,165,72865000.0,8298,754999000.0,698106000.0,134163000.0,303897000.0,1540000.0,563180000.0,184878000.0,290617000.0,640771000.0,686111000.0
Acre,2014,258519000.0,455044000.0,154000.0,182,85287000.0,8085,819144000.0,760318000.0,150761000.0,402861000.0,154000.0,688777000.0,200476000.0,322843000.0,777887000.0,832180000.0
Acre,2015,131213000.0,242378000.0,100000.0,161,69671000.0,5572,613621000.0,563283000.0,122558000.0,211217000.0,100000.0,444166000.0,163178000.0,335378000.0,577757000.0,598377000.0
Acre,2016,120678000.0,199240000.0,0.0,125,45969000.0,3446,505164000.0,465542000.0,81627000.0,181904000.0,0.0,333829000.0,105956000.0,275871000.0,475111000.0,509585000.0
Acre,2017,115622000.0,198962000.0,86000.0,110,51338000.0,3147,444003000.0,403243000.0,71403000.0,177495000.0,682000.0,327731000.0,98217000.0,213573000.0,412535000.0,431419000.0
Acre,2018,105723000.0,176153000.0,0.0,122,39143000.0,3064,449363000.0,406499000.0,64691000.0,156522000.0,1723000.0,286275000.0,88888000.0,234430000.0,410583000.0,433816000.0
Acre,2019,63548000.0,114945000.0,116000.0,111,29146000.0,2658,368178000.0,339155000.0,60688000.0,134856000.0,268000.0,249272000.0,85003000.0,202123000.0,317068000.0,349084000.0
Acre,2020,90294000.0,200720000.0,0.0,90,52692000.0,2696,434741000.0,409536000.0,66065000.0,160168000.0,1393000.0,309427000.0,95174000.0,209929000.0,410649000.0,404706000.0
Acre,2021,106878000.0,231321000.0,1233000.0,111,40816000.0,3201,594948000.0,558428000.0,91062000.0,198914000.0,1438000.0,367792000.0,126625000.0,292490000.0,523811000.0,550967000.0
Acre,2022,122508000.0,289007000.0,5442000.0,124,76380000.0,3741,585313000.0,536306000.0,109354000.0,238069000.0,8382000.0,470949000.0,148117000.0,290742000.0,579749000.0,594493000.0
Alagoas,2007,185430000.0,280098000.0,5483000.0,258,87132000.0,8847,614950000.0,569505000.0,76130000.0,255952000.0,6178000.0,457848000.0,108587000.0,321005000.0,601103000.0,639962000.0
Alagoas,2008,196240000.0,309128000.0,92000.0,265,50563000.0,11629,716260000.0,664392000.0,106608000.0,296786000.0,176000.0,498095000.0,150569000.0,307639000.0,616767000.0,667121000.0
