estado,ano,materiais_construcao_mil_reais,consumo_intermediario_mil_reais,materiais_terceiros_mil_reais,numero_empresas_ativas,outros_custos_despesas_mil_reais,pessoal_ocupado,receita_bruta_total_mil_reais,receita_liquida_mil_reais,remuneracoes_mil_reais,custos_obras_servicos_mil_reais,custos_terceiros_mil_reais,custos_totais_despesas_mil_reais,gastos_pessoal_mil_reais,valor_adicionado_mil_reais,valor_bruto_producao_mil_reais,valor_obras_servicos_mil_reais
Acre,2007,75062.0,102860.0,34.0,89.0,18982.0,4230.0,279427.0,254127.0,41883.0,92158.0,50.0,167193.0,56002.0,151794.0,254655.0,278969.0
Acre,2008,154494.0,215491.0,0.0,113.0,31289.0,5129.0,446819.0,413260.0,54418.0,203471.0,0.0,310690.0,75930.0,197500.0,412991.0,443351.0
Acre,2009,151690.0,223251.0,4894.0,131.0,34984.0,6398.0,543075.0,483182.0,62213.0,203152.0,5129.0,329485.0,86220.0,244349.0,467599.0,521595.0
Acre,2010,232777.0,312247.0,3816.0,149.0,69492.0,6502.0,628673.0,585984.0,78055.0,261823.0,6249.0,446763.0,109200.0,274928.0,587176.0,625113.0
Acre,2011,187268.0,296929.0,586.0,181.0,51628.0,6818.0,643797.0,545296.0,95666.0,268742.0,854.0,452621.0,131397.0,262792.0,559721.0,650487.0
Acre,2012,216252.0,347210.0,1646.0,149.0,101508.0,6995.0,840751.0,787651.0,98757.0,289706.0,2870.0,533357.0,139272.0,359737.0,706947.0,729792.0
Acre,2013,202887.0,350154.0,847.0,165.0,72865.0,8298.0,754999.0,698106.0,134163.0,303897.0,1540.0,563180.0,184878.0,290617.0,640771.0,686111.0
Acre,2014,258519.0,455044.0,154.0,182.0,85287.0,8085.0,819144.0,760318.0,150761.0,402861.0,154.0,688777.0,200476.0,322843.0,777887.0,832180.0
Acre,2015,131213.0,242378.0,100.0,161.0,69671.0,5572.0,613621.0,563283.0,122558.0,211217.0,100.0,444166.0,163178.0,335378.0,577757.0,598377.0
Acre,2016,120678.0,199240.0,0.0,125.0,45969.0,3446.0,505164.0,465542.0,81627.0,181904.0,0.0,333829.0,105956.0,275871.0,475111.0,509585.0
Acre,2017,115622.0,198962.0,86.0,110.0,51338.0,3147.0,444003.0,403243.0,71403.0,177495.0,682.0,327731.0,98217.0,213573.0,412535.0,431419.0
Acre,2018,105723.0,176153.0,0.0,122.0,39143.0,3064.0,449363.0,406499.0,64691.0,156522.0,1723.0,286275.0,88888.0,234430.0,410583.0,433816.0
Acre,2019,63548.0,114945.0,116.0,111.0,29146.0,2658.0,368178.0,339155.0,60688.0,134856.0,268.0,249272.0,85003.0,202123.0,317068.0,349084.0
Acre,2020,90294.0,200720.0,0.0,90.0,52692.0,2696.0,434741.0,409536.0,66065.0,160168.0,1393.0,309427.0,95174.0,209929.0,410649.0,404706.0
Acre,2021,106878.0,231321.0,1233.0,111.0,40816.0,3201.0,594948.0,558428.0,91062.0,198914.0,1438.0,367792.0,126625.0,292490.0,523811.0,550967.0
Acre,2022,122508.0,289007.0,5442.0,124.0,76380.0,3741.0,585313.0,536306.0,109354.0,238069.0,8382.0,470949.0,148117.0,290742.0,579749.0,594493.0
Alagoas,2007,185430.0,280098.0,5483.0,258.0,87132.0,8847.0,614950.0,569505.0,76130.0,255952.0,6178.0,457848.0,108587.0,321005.0,601103.0,639962.0
Alagoas,2008,196240.0,309128.0,92.0,265.0,50563.0,11629.0,716260.0,664392.0,106608.0,296786.0,176.0,498095.0,150569.0,307639.0,616767.0,667121.0
Alagoas,2009,206326.0,344380.0,0.0,267.0,156718.0,13790.0,894310.0,839680.0,154777.0,262757.0,0.0,632927.0,213452.0,479578.0,823958.0,881036.0
Alagoas,2010,397459.0,605532.0,330.0,297.0,142386.0,22689.0,1310999.0,1242484.0,199773.0,511467.0,1161.0,939403.0,284389.0,628254.0,1233786.0,1286570.0
Alagoas,2011,551051.0,978236.0,8134.0,346.0,244240.0,26710.0,1930499.0,1839413.0,319772.0,823777.0,10819.0,1539494.0,460659.0,817054.0,1795290.0,1889299.0
Alagoas,2012,642294.0,1105501.0,12849.0,390.0,291354.0,26832.0,2222956.0,2107671.0,342704.0,927932.0,18695.0,1747973.0,509992.0,1025895.0,2131396.0,2242246.0
Alagoas,2013,610788.0,1064724.0,9968.0,479.0,273379.0,26331.0,2395468.0,2292093.0,401902.0,883832.0,13063.0,1763215.0,592941.0,1010956.0,2075680.0,2165213.0
Alagoas,2014,778941.0,1270472.0,49.0,442.0,294857.0,24445.0,2687680.0,2554197.0,394400.0,1103318.0,1110.0,2044976.0,645691.0,1151652.0,2422124.0,2544270.0
Alagoas,2015,482325.0,936591.0,285.0,509.0,260134.0,22256.0,2112126.0,1997475.0,382698.0,778600.0,4899.0,1595844.0,552210.0,994770.0,1931361.0,2038545.0
Alagoas,2016,547805.0,966996.0,21099.0,432.0,238262.0,17443.0,2134269.0,2015984.0,369962.0,880186.0,21193.0,1670220.0,530579.0,1002937.0,1969932.0,2125754.0
