iter	RMSE
0	690.6806101
1	682.3519519
2	673.0212955
3	668.2748787
4	661.1789949
5	652.7636024
6	644.578708
7	636.6883082
8	629.9933831
9	622.436748
10	615.206138
11	608.1844382
12	601.0622413
13	594.290527
14	587.4763998
15	581.7893307
16	574.6671523
17	570.3771775
18	565.0139626
19	558.4117777
20	554.4117545
21	549.9473201
22	546.0866934
23	541.2842172
24	536.1927202
25	533.3160759
26	529.751602
27	524.9553495
28	520.3181442
29	516.4856016
30	513.4766316
31	508.8745384
32	505.2601763
33	500.7302248
34	496.8366501
35	493.9999104
36	490.569925
37	487.7089488
38	484.2296094
39	480.7364102
40	478.4306995
41	475.4488116
42	474.3358194
43	472.0047044
44	470.171389
45	467.8310133
46	465.7588617
47	463.8690196
48	461.6389283
49	458.7409644
50	456.6438152
51	453.688072
52	451.2590184
53	449.9094459
54	447.7084032
55	445.7558142
56	443.6300196
57	441.308385
58	438.9333986
59	437.4181986
60	435.3591744
61	433.6879894
62	432.7669578
63	432.1499342
64	429.5599549
65	427.6452572
66	425.0693315
67	423.3727985
68	421.2772473
69	419.6003103
70	418.350289
71	416.5152721
72	414.4957571
73	412.9342565
74	410.3161463
75	408.6505332
76	407.2594342
77	405.4119967
78	403.7153206
79	402.6000502
80	401.3172447
81	400.3285958
82	399.0458626
83	397.53958
84	396.7233331
85	394.5044056
86	393.0394798
87	391.5383658
88	389.663995
89	388.5500577
90	387.2593992
91	386.0350213
92	384.9183441
93	384.1573842
94	382.8862974
95	381.1236978
96	379.6363841
97	378.5026049
98	377.1474113
99	375.3309933
100	373.8693846
101	373.0013544
102	372.4104569
103	371.5198423
104	370.7585261
105	369.9565943
106	368.0716535
107	367.5582962
108	366.6482439
109	364.9733902
110	364.6689477
111	363.4322529
112	362.3509566
113	360.0888054
114	359.493311
115	358.4268863
116	358.0019055
117	357.1778151
118	355.9786742
119	355.031326
120	353.4897715
121	352.4988537
122	351.5096392
123	350.4738932
124	350.180804
125	349.235233
126	348.817275
127	348.6358464
128	347.3517918
129	346.9937419
130	346.1935731
131	344.9156716
132	344.0324695
133	343.1760166
134	342.691589
135	341.62507
136	341.1017042
137	339.8570914
138	339.1964544
139	338.6159642
140	338.0663777
141	337.7771217
142	336.7704661
143	335.7945206
144	334.9038478
145	334.1259434
146	333.5560758
147	332.5534376
148	331.901561
149	330.8644045
150	330.4761429
151	329.5410025
152	328.6270954
153	327.6064638
154	326.4312416
155	325.8498703
156	325.5525551
157	324.6670439
158	323.4893688
159	322.6610813
160	321.8113482
161	320.0675182
162	319.2856148
163	318.508081
164	318.2731657
165	317.0966172
166	315.8360743
167	315.1803007
168	314.722521
169	314.5328579
170	313.3589655
171	312.7067014
172	312.211128
173	311.447856
174	310.5853392
175	310.0023807
176	309.3406667
177	308.1801679
178	307.3044773
179	306.5210874
180	305.4870041
181	304.9248708
182	304.6318895
183	303.8416951
184	302.6176676
185	302.0803312
186	301.3626628
187	300.5940154
188	299.7403646
189	299.1191914
190	298.0994608
191	297.6664774
192	297.3186414
193	296.3884178
194	295.6785098
195	294.2041608
196	293.7458322
197	293.2995858
198	292.1529598
199	291.3158206
200	290.5365396
201	289.7921167
202	289.2857978
203	288.6105958
204	287.8922519
205	286.7567236
206	286.2754842
207	285.4760586
208	284.723921
209	284.4379356
210	283.2286495
211	282.979725
212	281.8716466
213	280.7474237
214	279.8292152
215	279.3702378
216	278.199653
217	278.0143457
218	277.9262374
219	277.3654224
220	276.7181497
221	275.7642718
222	275.7136552
223	275.130073
224	274.3208631
225	273.5248948
226	273.3541273
227	271.9313386
228	271.8442173
229	271.5921446
230	270.9961495
231	269.9565591
232	269.2042266
233	268.8081361
234	268.4131813
235	267.1800057
236	266.3894555
237	265.4289882
238	265.013959
239	264.2373805
240	263.3372094
241	262.7080913
242	261.8474282
243	261.3115261
244	260.7374502
245	260.0826457
246	260.013892
247	259.4847574
248	259.3878343
