iter	Passed	Remaining
0	134	134287
1	135	67587
2	136	45290
3	137	34162
4	138	27487
5	139	23052
6	140	19894
7	141	17496
8	141	15635
9	142	14150
10	143	12927
11	144	11910
12	145	11054
13	146	10328
14	147	9691
15	148	9142
16	149	8653
17	150	8219
18	151	7825
19	152	7470
20	153	7149
21	154	6858
22	155	6588
23	155	6342
24	156	6115
25	157	5908
26	158	5714
27	159	5534
28	160	5367
29	161	5210
30	162	5066
31	162	4929
32	163	4799
33	164	4680
34	165	4571
35	166	4465
36	167	4363
37	168	4266
38	169	4179
39	170	4094
40	171	4011
41	172	3932
42	173	3858
43	174	3787
44	175	3719
45	176	3653
46	177	3595
47	178	3536
48	179	3478
49	179	3419
50	180	3367
51	181	3315
52	182	3265
53	183	3216
54	184	3169
55	185	3125
56	186	3082
57	187	3041
58	188	3001
59	189	2962
60	190	2927
61	190	2889
62	191	2854
63	192	2820
64	193	2787
65	194	2754
66	195	2722
67	196	2692
68	197	2664
69	198	2636
70	199	2609
71	200	2582
72	201	2555
73	202	2530
74	203	2505
75	203	2480
76	204	2456
77	205	2433
78	206	2412
79	207	2390
80	208	2369
81	209	2347
82	210	2327
83	211	2307
84	212	2290
85	213	2271
86	214	2254
87	215	2237
88	216	2219
89	217	2200
90	218	2184
91	219	2166
92	220	2150
93	221	2134
94	222	2118
95	223	2102
96	224	2087
97	225	2072
98	225	2056
99	226	2042
100	227	2027
101	228	2013
102	229	1999
103	230	1985
104	231	1973
105	232	1959
106	233	1946
107	234	1934
108	235	1921
109	236	1910
110	237	1899
111	238	1887
112	239	1876
113	239	1864
114	240	1853
115	241	1843
116	242	1833
117	243	1822
118	244	1811
119	245	1800
120	246	1790
121	247	1780
122	248	1770
123	249	1760
124	250	1751
125	251	1741
126	252	1733
127	252	1719
128	253	1711
129	254	1702
130	255	1693
131	256	1684
132	257	1676
133	258	1667
134	259	1659
135	259	1651
136	260	1642
137	261	1634
138	262	1627
139	263	1620
140	264	1613
141	265	1605
142	266	1598
143	267	1592
144	268	1585
145	269	1577
146	270	1571
147	271	1564
148	272	1557
149	273	1550
150	274	1543
151	275	1536
152	276	1529
153	277	1522
154	278	1515
155	278	1509
156	279	1502
157	280	1496
158	281	1489
159	282	1483
160	283	1476
161	284	1470
162	285	1464
163	285	1457
164	286	1451
165	287	1445
166	288	1439
167	289	1434
168	290	1427
169	291	1422
170	292	1415
171	292	1410
172	293	1404
173	294	1399
174	295	1394
175	296	1389
176	297	1383
177	298	1378
178	299	1373
179	300	1368
180	301	1363
181	302	1358
182	303	1353
183	303	1347
184	304	1342
185	305	1338
186	306	1333
187	307	1328
188	308	1323
189	309	1318
190	310	1314
191	311	1310
192	312	1305
193	313	1301
194	314	1296
195	314	1291
196	315	1287
197	316	1282
198	317	1278
199	318	1274
200	319	1270
201	320	1267
202	321	1263
203	322	1258
204	323	1254
205	324	1251
206	325	1247
207	326	1243
208	327	1239
209	328	1236
210	329	1232
211	330	1228
212	331	1224
213	332	1220
214	333	1216
215	334	1212
216	335	1208
217	335	1204
218	336	1201
219	337	1197
220	338	1193
221	339	1191
222	340	1187
223	341	1183
224	342	1179
225	343	1176
226	344	1172
227	345	1168
228	346	1165
229	347	1161
230	348	1158
231	348	1155
232	349	1151
233	350	1148
234	351	1145
235	352	1142
236	353	1138
237	354	1135
238	355	1132
239	356	1128
240	357	1125
241	358	1122
242	359	1119
243	360	1116
244	361	1113
245	362	1109
246	362	1106
247	363	1103
248	364	1099
249	365	1096
250	366	1093
251	367	1091
252	368	1087
253	369	1084
254	369	1079
255	370	1076
256	371	1073
257	372	1070
258	373	1067
259	374	1064
260	374	1061
261	375	1058
262	376	1055
263	377	1052
264	378	1050
265	379	1047
266	380	1044
267	381	1041
268	382	1038
269	383	1036
270	384	1033
271	384	1030
272	385	1027
273	386	1024
274	387	1021
275	388	1018
276	389	1015
277	389	1011
278	390	1008
279	391	1006
280	392	1003
281	392	999
282	393	997
283	394	994
284	395	991
285	396	989
286	397	987
287	398	984
288	399	982
289	399	978
290	400	976
291	401	973
292	402	971
293	403	968
294	404	966
295	405	963
296	406	961
297	407	958
298	407	956
299	408	953
